epoch,step,min,max,mean,std
1,10000,-49.56218719482422,35.91162109375,-0.5558112263679504,6.0386738777160645
2,20000,-193.4571075439453,259.4944763183594,3.4876983165740967,42.245758056640625
3,30000,-483.30560302734375,414.8778991699219,0.23871299624443054,64.0106201171875
4,40000,-256.61260986328125,436.12841796875,0.4961896538734436,46.7150764465332
5,50000,-965.8968505859375,583.34130859375,-3.3234782218933105,87.3842544555664
6,60000,-826.5736083984375,755.456787109375,-0.6427183151245117,85.7248306274414
7,70000,-1990.744873046875,1201.4234619140625,-14.378116607666016,207.0550537109375
8,80000,-1225.85888671875,1013.9188232421875,-7.45578145980835,158.67340087890625
9,90000,-2848.897705078125,5190.66259765625,27.18035888671875,420.06951904296875
10,100000,-6043.640625,10706.5224609375,15.182210922241211,937.2806396484375
11,110000,-9278.892578125,15000.2412109375,39.5123291015625,1186.8477783203125
12,120000,-9979.8974609375,7732.34716796875,27.02167510986328,983.7192993164062
13,130000,-15759.75,45022.24609375,222.6215057373047,2573.4833984375
14,140000,-63124.95703125,28694.455078125,-0.161651611328125,4050.705078125
15,150000,-12134.2392578125,14835.2890625,54.69896697998047,1854.5311279296875
16,160000,-34244.48828125,11145.7685546875,118.6719970703125,2027.3345947265625
17,170000,-98966.296875,63790.08203125,308.43402099609375,7262.681640625
18,180000,-101954.3203125,53570.03125,-174.90052795410156,6830.09375
19,190000,-43498.88671875,70519.34375,551.3740844726562,8807.35546875
20,200000,-40766.8515625,49719.21875,89.78760528564453,6145.60546875
