epoch,step,min,max,mean,std
1,10000,-0.4550657868385315,0.17955182492733002,-0.036408521234989166,0.20284317433834076
2,20000,-0.2025701403617859,0.2787078022956848,0.05888596922159195,0.16086173057556152
3,30000,-0.4280737638473511,0.6404802799224854,0.07947389036417007,0.34998655319213867
4,40000,-0.2588953375816345,0.6702726483345032,0.2680344581604004,0.3326154947280884
5,50000,-0.08397619426250458,0.14271309971809387,0.047504864633083344,0.0886131227016449
6,60000,-0.022929884493350983,0.32096976041793823,0.11069408059120178,0.1102796345949173
7,70000,-0.19304028153419495,0.23868152499198914,0.022027578204870224,0.14003512263298035
8,80000,-0.17025935649871826,0.06717517226934433,-0.03543749451637268,0.08099882304668427
9,90000,-0.8772752285003662,0.35092663764953613,-0.171138197183609,0.39727216958999634
10,100000,-0.1490352749824524,0.18808211386203766,0.039429765194654465,0.11370239406824112
11,110000,-0.6823238134384155,0.864627480506897,-0.034289613366127014,0.5277409553527832
12,120000,-0.8609713912010193,1.2032744884490967,0.032581157982349396,0.6725181341171265
13,130000,-0.22777411341667175,0.14010591804981232,-0.06556473672389984,0.11622787266969681
14,140000,-0.2303629368543625,0.3390713334083557,0.07614486664533615,0.20870919525623322
15,150000,-0.23664721846580505,0.05417877435684204,-0.11173735558986664,0.10260742157697678
16,160000,-0.046413712203502655,0.16828206181526184,0.03516726195812225,0.0690341666340828
17,170000,-0.08696851134300232,0.2332964390516281,0.08484305441379547,0.1007089912891388
18,180000,-0.6767061948776245,0.4940265119075775,-0.0796792060136795,0.39908719062805176
19,190000,-0.0012438967823982239,0.42916256189346313,0.11238993704319,0.1321105659008026
20,200000,-0.2912166714668274,0.6431881189346313,0.12529778480529785,0.24936723709106445
