epoch,step,min,max,mean,std
1,10000,-13.562732696533203,-13.562732696533203,-13.562732696533203,0.0
2,20000,-5.1750807762146,-5.1750807762146,-5.1750807762146,0.0
3,30000,-2.1126997470855713,-2.1126997470855713,-2.1126997470855713,0.0
4,40000,-0.7757338881492615,-0.7757338881492615,-0.7757338881492615,0.0
5,50000,-0.2919416129589081,-0.2919416129589081,-0.2919416129589081,0.0
6,60000,-0.10534608364105225,-0.10534608364105225,-0.10534608364105225,0.0
7,70000,-0.0386628694832325,-0.0386628694832325,-0.0386628694832325,0.0
8,80000,-0.015260537154972553,-0.015260537154972553,-0.015260537154972553,0.0
9,90000,-0.005909212864935398,-0.005909212864935398,-0.005909212864935398,0.0
10,100000,-0.002307508373633027,-0.002307508373633027,-0.002307508373633027,0.0
11,110000,-0.0009007080807350576,-0.0009007080807350576,-0.0009007080807350576,0.0
12,120000,-0.0003506489156279713,-0.0003506489156279713,-0.0003506489156279713,0.0
13,130000,-0.00014729856047779322,-0.00014729856047779322,-0.00014729856047779322,0.0
14,140000,-5.8482550230110064e-05,-5.8482550230110064e-05,-5.8482550230110064e-05,0.0
15,150000,-2.0850198779953644e-05,-2.0850198779953644e-05,-2.0850198779953644e-05,0.0
16,160000,-9.358943316328805e-06,-9.358943316328805e-06,-9.358943316328805e-06,0.0
17,170000,-4.148544121562736e-06,-4.148544121562736e-06,-4.148544121562736e-06,0.0
18,180000,-1.5145128600124735e-06,-1.5145128600124735e-06,-1.5145128600124735e-06,0.0
19,190000,-6.230985150068591e-07,-6.230985150068591e-07,-6.230985150068591e-07,0.0
20,200000,-2.6793247798195807e-07,-2.6793247798195807e-07,-2.6793247798195807e-07,0.0
