epoch,step,min,max,mean,std
1,10000,-0.7450327277183533,-0.7450327277183533,-0.7450327277183533,0.0
2,20000,-1.4248822927474976,-1.4248822927474976,-1.4248822927474976,0.0
3,30000,-1.1557908058166504,-1.1557908058166504,-1.1557908058166504,0.0
4,40000,-1.4880907535552979,-1.4880907535552979,-1.4880907535552979,0.0
5,50000,-1.088714599609375,-1.088714599609375,-1.088714599609375,0.0
6,60000,-1.6526966094970703,-1.6526966094970703,-1.6526966094970703,0.0
7,70000,-0.1106104850769043,-0.1106104850769043,-0.1106104850769043,0.0
8,80000,-1.172142505645752,-1.172142505645752,-1.172142505645752,0.0
9,90000,-0.7042584419250488,-0.7042584419250488,-0.7042584419250488,0.0
10,100000,-1.7372007369995117,-1.7372007369995117,-1.7372007369995117,0.0
11,110000,0.08077573776245117,0.08077573776245117,0.08077573776245117,0.0
12,120000,0.08413028717041016,0.08413028717041016,0.08413028717041016,0.0
13,130000,-1.915112018585205,-1.915112018585205,-1.915112018585205,0.0
14,140000,-1.982947826385498,-1.982947826385498,-1.982947826385498,0.0
15,150000,-2.451613426208496,-2.451613426208496,-2.451613426208496,0.0
16,160000,-0.20646429061889648,-0.20646429061889648,-0.20646429061889648,0.0
17,170000,5.008657932281494,5.008657932281494,5.008657932281494,0.0
18,180000,-0.8343362808227539,-0.8343362808227539,-0.8343362808227539,0.0
19,190000,-0.04206514358520508,-0.04206514358520508,-0.04206514358520508,0.0
20,200000,-0.7053861618041992,-0.7053861618041992,-0.7053861618041992,0.0
