epoch,step,min,max,mean,std
1,10000,-1.5816839933395386,-1.5816839933395386,-1.5816839933395386,0.0
2,20000,-0.5525155067443848,-0.5525155067443848,-0.5525155067443848,0.0
3,30000,-0.22814826667308807,-0.22814826667308807,-0.22814826667308807,0.0
4,40000,-0.09014864265918732,-0.09014864265918732,-0.09014864265918732,0.0
5,50000,-0.04116855934262276,-0.04116855934262276,-0.04116855934262276,0.0
6,60000,-0.015698043629527092,-0.015698043629527092,-0.015698043629527092,0.0
7,70000,-0.006198139861226082,-0.006198139861226082,-0.006198139861226082,0.0
8,80000,-0.0026511058676987886,-0.0026511058676987886,-0.0026511058676987886,0.0
9,90000,-0.001083647832274437,-0.001083647832274437,-0.001083647832274437,0.0
10,100000,-0.0004420240002218634,-0.0004420240002218634,-0.0004420240002218634,0.0
11,110000,-0.00017885795386973768,-0.00017885795386973768,-0.00017885795386973768,0.0
12,120000,-7.37323789508082e-05,-7.37323789508082e-05,-7.37323789508082e-05,0.0
13,130000,-3.139303589705378e-05,-3.139303589705378e-05,-3.139303589705378e-05,0.0
14,140000,-1.3246740309114102e-05,-1.3246740309114102e-05,-1.3246740309114102e-05,0.0
15,150000,-4.8320580390281975e-06,-4.8320580390281975e-06,-4.8320580390281975e-06,0.0
16,160000,-2.1204957647569245e-06,-2.1204957647569245e-06,-2.1204957647569245e-06,0.0
17,170000,-8.703723324288148e-07,-8.703723324288148e-07,-8.703723324288148e-07,0.0
18,180000,-3.337397060931835e-07,-3.337397060931835e-07,-3.337397060931835e-07,0.0
19,190000,-1.422131106210145e-07,-1.422131106210145e-07,-1.422131106210145e-07,0.0
20,200000,-6.102236937977068e-08,-6.102236937977068e-08,-6.102236937977068e-08,0.0
