epoch,step,min,max,mean,std
1,10000,2.737727403640747,2.737727403640747,2.737727403640747,0.0
2,20000,1.7828032970428467,1.7828032970428467,1.7828032970428467,0.0
3,30000,1.4674016237258911,1.4674016237258911,1.4674016237258911,0.0
4,40000,1.527543306350708,1.527543306350708,1.527543306350708,0.0
5,50000,1.3603557348251343,1.3603557348251343,1.3603557348251343,0.0
6,60000,1.2284867763519287,1.2284867763519287,1.2284867763519287,0.0
7,70000,1.172559380531311,1.172559380531311,1.172559380531311,0.0
8,80000,1.093164324760437,1.093164324760437,1.093164324760437,0.0
9,90000,1.0620583295822144,1.0620583295822144,1.0620583295822144,0.0
10,100000,1.0882341861724854,1.0882341861724854,1.0882341861724854,0.0
11,110000,1.0836288928985596,1.0836288928985596,1.0836288928985596,0.0
12,120000,1.1576967239379883,1.1576967239379883,1.1576967239379883,0.0
13,130000,1.1515346765518188,1.1515346765518188,1.1515346765518188,0.0
14,140000,1.198821783065796,1.198821783065796,1.198821783065796,0.0
15,150000,1.2273887395858765,1.2273887395858765,1.2273887395858765,0.0
16,160000,1.1202528476715088,1.1202528476715088,1.1202528476715088,0.0
17,170000,1.1746118068695068,1.1746118068695068,1.1746118068695068,0.0
18,180000,1.1788887977600098,1.1788887977600098,1.1788887977600098,0.0
19,190000,1.2141504287719727,1.2141504287719727,1.2141504287719727,0.0
20,200000,1.216760516166687,1.216760516166687,1.216760516166687,0.0
