epoch,step,min,max,mean,std
1,10000,-0.3012482821941376,0.2552526295185089,-0.00014823827950749546,0.032276708632707596
2,20000,-0.22737804055213928,0.18958696722984314,5.4017695219954476e-05,0.02368808165192604
3,30000,-0.2393541932106018,0.2714461088180542,0.0004034239682368934,0.03637181222438812
4,40000,-0.12645672261714935,0.12497075647115707,0.0002588792995084077,0.0168085265904665
5,50000,-0.14855092763900757,0.17959275841712952,4.785538112628274e-05,0.024789482355117798
6,60000,-0.12621253728866577,0.1139243096113205,0.00011157072003697976,0.015093902125954628
7,70000,-0.2988458275794983,0.2914191484451294,0.0003592911525629461,0.027254845947027206
8,80000,-0.21986056864261627,0.18949764966964722,-0.0002837100764736533,0.027128104120492935
9,90000,-0.12475146353244781,0.12159278988838196,-0.0002250862162327394,0.015452329069375992
10,100000,-0.18115510046482086,0.16483670473098755,-0.0003824906307272613,0.018940353766083717
11,110000,-0.2851261496543884,0.2457660436630249,-0.00033342433744110167,0.032920897006988525
12,120000,-0.2294069230556488,0.20936426520347595,0.000274379039183259,0.02225988358259201
13,130000,-0.2922232151031494,0.3135027289390564,0.00032545620342716575,0.042093440890312195
14,140000,-0.1588434875011444,0.22835898399353027,0.0006200829520821571,0.025583792477846146
15,150000,-0.30382078886032104,0.20322462916374207,-0.0003385235322639346,0.02580477111041546
16,160000,-0.35889971256256104,0.250349760055542,-0.0007502352818846703,0.027089737355709076
17,170000,-0.07363356649875641,0.10288269817829132,0.00020979053806513548,0.011712665669620037
18,180000,-0.09841020405292511,0.150717630982399,0.0004127084102947265,0.014812540262937546
19,190000,-0.10692210495471954,0.1364089697599411,-5.3326872148318216e-05,0.0136345736682415
20,200000,-0.3220106065273285,0.37837719917297363,0.0006063991459086537,0.0358194038271904
