epoch,step,min,max,mean,std
1,10000,-2.226712942123413,-2.226712942123413,-2.226712942123413,0.0
2,20000,-0.9230262041091919,-0.9230262041091919,-0.9230262041091919,0.0
3,30000,-0.3519201874732971,-0.3519201874732971,-0.3519201874732971,0.0
4,40000,-0.1482086479663849,-0.1482086479663849,-0.1482086479663849,0.0
5,50000,-0.05811978131532669,-0.05811978131532669,-0.05811978131532669,0.0
6,60000,-0.02578836865723133,-0.02578836865723133,-0.02578836865723133,0.0
7,70000,-0.01043668668717146,-0.01043668668717146,-0.01043668668717146,0.0
8,80000,-0.00406081136316061,-0.00406081136316061,-0.00406081136316061,0.0
9,90000,-0.0015784138813614845,-0.0015784138813614845,-0.0015784138813614845,0.0
10,100000,-0.0007265229360200465,-0.0007265229360200465,-0.0007265229360200465,0.0
11,110000,-0.0002788661513477564,-0.0002788661513477564,-0.0002788661513477564,0.0
12,120000,-0.00011511860066093504,-0.00011511860066093504,-0.00011511860066093504,0.0
13,130000,-4.5145781768951565e-05,-4.5145781768951565e-05,-4.5145781768951565e-05,0.0
14,140000,-1.7776628737919964e-05,-1.7776628737919964e-05,-1.7776628737919964e-05,0.0
15,150000,-7.635593647137284e-06,-7.635593647137284e-06,-7.635593647137284e-06,0.0
16,160000,-2.977604026455083e-06,-2.977604026455083e-06,-2.977604026455083e-06,0.0
17,170000,-1.1334240070937085e-06,-1.1334240070937085e-06,-1.1334240070937085e-06,0.0
18,180000,-5.049523679190315e-07,-5.049523679190315e-07,-5.049523679190315e-07,0.0
19,190000,-2.1261718075038516e-07,-2.1261718075038516e-07,-2.1261718075038516e-07,0.0
20,200000,-9.285580659934567e-08,-9.285580659934567e-08,-9.285580659934567e-08,0.0
