epoch,step,min,max,mean,std
1,10000,-1.972942590713501,-1.972942590713501,-1.972942590713501,0.0
2,20000,-0.703384518623352,-0.703384518623352,-0.703384518623352,0.0
3,30000,-0.27375227212905884,-0.27375227212905884,-0.27375227212905884,0.0
4,40000,-0.1086745336651802,-0.1086745336651802,-0.1086745336651802,0.0
5,50000,-0.04476288706064224,-0.04476288706064224,-0.04476288706064224,0.0
6,60000,-0.017061125487089157,-0.017061125487089157,-0.017061125487089157,0.0
7,70000,-0.006997997406870127,-0.006997997406870127,-0.006997997406870127,0.0
8,80000,-0.0028685785364359617,-0.0028685785364359617,-0.0028685785364359617,0.0
9,90000,-0.0011671261163428426,-0.0011671261163428426,-0.0011671261163428426,0.0
10,100000,-0.00047197300591506064,-0.00047197300591506064,-0.00047197300591506064,0.0
11,110000,-0.00019417016301304102,-0.00019417016301304102,-0.00019417016301304102,0.0
12,120000,-7.482332148356363e-05,-7.482332148356363e-05,-7.482332148356363e-05,0.0
13,130000,-3.1722989660920575e-05,-3.1722989660920575e-05,-3.1722989660920575e-05,0.0
14,140000,-1.2637937288673129e-05,-1.2637937288673129e-05,-1.2637937288673129e-05,0.0
15,150000,-5.3468615988094825e-06,-5.3468615988094825e-06,-5.3468615988094825e-06,0.0
16,160000,-2.0794100237253588e-06,-2.0794100237253588e-06,-2.0794100237253588e-06,0.0
17,170000,-8.564669542465708e-07,-8.564669542465708e-07,-8.564669542465708e-07,0.0
18,180000,-3.655136993074848e-07,-3.655136993074848e-07,-3.655136993074848e-07,0.0
19,190000,-1.502514805906685e-07,-1.502514805906685e-07,-1.502514805906685e-07,0.0
20,200000,-6.520620132732802e-08,-6.520620132732802e-08,-6.520620132732802e-08,0.0
