epoch,step,min,max,mean,std
1,10000,-9.573437690734863,-9.573437690734863,-9.573437690734863,0.0
2,20000,-3.8920273780822754,-3.8920273780822754,-3.8920273780822754,0.0
3,30000,-1.7276365756988525,-1.7276365756988525,-1.7276365756988525,0.0
4,40000,-0.6936007142066956,-0.6936007142066956,-0.6936007142066956,0.0
5,50000,-0.2726835310459137,-0.2726835310459137,-0.2726835310459137,0.0
6,60000,-0.11166244000196457,-0.11166244000196457,-0.11166244000196457,0.0
7,70000,-0.04604041203856468,-0.04604041203856468,-0.04604041203856468,0.0
8,80000,-0.017873981967568398,-0.017873981967568398,-0.017873981967568398,0.0
9,90000,-0.007488927338272333,-0.007488927338272333,-0.007488927338272333,0.0
10,100000,-0.002947585890069604,-0.002947585890069604,-0.002947585890069604,0.0
11,110000,-0.0012002303265035152,-0.0012002303265035152,-0.0012002303265035152,0.0
12,120000,-0.0004805884091183543,-0.0004805884091183543,-0.0004805884091183543,0.0
13,130000,-0.00019910786068066955,-0.00019910786068066955,-0.00019910786068066955,0.0
14,140000,-7.997507782420143e-05,-7.997507782420143e-05,-7.997507782420143e-05,0.0
15,150000,-3.33876050717663e-05,-3.33876050717663e-05,-3.33876050717663e-05,0.0
16,160000,-1.3695348570763599e-05,-1.3695348570763599e-05,-1.3695348570763599e-05,0.0
17,170000,-5.220439561526291e-06,-5.220439561526291e-06,-5.220439561526291e-06,0.0
18,180000,-2.175925146730151e-06,-2.175925146730151e-06,-2.175925146730151e-06,0.0
19,190000,-8.814090506348293e-07,-8.814090506348293e-07,-8.814090506348293e-07,0.0
20,200000,-3.542717763593828e-07,-3.542717763593828e-07,-3.542717763593828e-07,0.0
