epoch,step,min,max,mean,std
1,10000,-0.018168199807405472,0.12661628425121307,0.062376800924539566,0.06022202968597412
2,20000,-0.13715535402297974,0.14832326769828796,0.0012971110409125686,0.11670373380184174
3,30000,-0.12625427544116974,-0.009469144977629185,-0.05662371218204498,0.05025647580623627
4,40000,-0.0399213582277298,0.13106344640254974,0.061119094491004944,0.0731855034828186
5,50000,-0.027509812265634537,0.181019127368927,0.07007138431072235,0.08565464615821838
6,60000,-0.04767201840877533,0.0746440514922142,0.010595385916531086,0.05010237544775009
7,70000,-0.1226886734366417,0.26554134488105774,0.05199689790606499,0.1608584076166153
8,80000,-0.14513614773750305,0.13827654719352722,-0.025433620437979698,0.11981427669525146
9,90000,-0.4702628552913666,0.2542926073074341,-0.05739065632224083,0.30432939529418945
10,100000,-0.0010828356025740504,0.251505583524704,0.12222355604171753,0.10320533066987991
11,110000,-0.31172722578048706,0.23667383193969727,-0.018269160762429237,0.22553417086601257
12,120000,-0.1412358283996582,0.2356710135936737,0.03201473876833916,0.15536639094352722
13,130000,-0.03827056661248207,0.02748158574104309,-0.009937970899045467,0.027601521462202072
14,140000,-0.07500416040420532,0.2251926064491272,0.035890042781829834,0.1345125138759613
15,150000,-0.16377821564674377,0.021858982741832733,-0.06252161413431168,0.07671979814767838
16,160000,-0.20092663168907166,0.07373808324337006,-0.030125489458441734,0.1217118352651596
17,170000,-0.08335302770137787,0.2927047610282898,0.05333084985613823,0.16983088850975037
18,180000,-0.048911288380622864,0.017212022095918655,-0.015594362281262875,0.026997143402695656
19,190000,-0.17239630222320557,0.17685768008232117,0.011674095876514912,0.1432064324617386
20,200000,-0.05090805143117905,-0.03792906925082207,-0.043766070157289505,0.005378396715968847
