epoch,step,min,max,mean,std
1,10000,-9.953376770019531,-9.953376770019531,-9.953376770019531,0.0
2,20000,-4.257400989532471,-4.257400989532471,-4.257400989532471,0.0
3,30000,-1.8472731113433838,-1.8472731113433838,-1.8472731113433838,0.0
4,40000,-0.6728585958480835,-0.6728585958480835,-0.6728585958480835,0.0
5,50000,-0.1534435898065567,-0.1534435898065567,-0.1534435898065567,0.0
6,60000,0.34680071473121643,0.34680071473121643,0.34680071473121643,0.0
7,70000,12.913899421691895,12.913899421691895,12.913899421691895,0.0
8,80000,144.195068359375,144.195068359375,144.195068359375,0.0
9,90000,1360.0211181640625,1360.0211181640625,1360.0211181640625,0.0
10,100000,8830.787109375,8830.787109375,8830.787109375,0.0
11,110000,54531.94140625,54531.94140625,54531.94140625,0.0
12,120000,283916.21875,283916.21875,283916.21875,0.0
13,130000,1442791.625,1442791.625,1442791.625,0.0
14,140000,4740023.5,4740023.5,4740023.5,0.0
15,150000,16407708.0,16407708.0,16407708.0,0.0
16,160000,38273056.0,38273056.0,38273056.0,0.0
17,170000,23131606.0,23131606.0,23131606.0,0.0
18,180000,12655868.0,12655868.0,12655868.0,0.0
19,190000,10382221.0,10382221.0,10382221.0,0.0
20,200000,8445964.0,8445964.0,8445964.0,0.0
