epoch,step,min,max,mean,std
1,10000,-9.731463432312012,-9.731463432312012,-9.731463432312012,0.0
2,20000,-4.0108208656311035,-4.0108208656311035,-4.0108208656311035,0.0
3,30000,-1.716039776802063,-1.716039776802063,-1.716039776802063,0.0
4,40000,-0.7013888955116272,-0.7013888955116272,-0.7013888955116272,0.0
5,50000,-0.2824193239212036,-0.2824193239212036,-0.2824193239212036,0.0
6,60000,-0.11777936667203903,-0.11777936667203903,-0.11777936667203903,0.0
7,70000,-0.04686705768108368,-0.04686705768108368,-0.04686705768108368,0.0
8,80000,-0.01930880919098854,-0.01930880919098854,-0.01930880919098854,0.0
9,90000,-0.007757017854601145,-0.007757017854601145,-0.007757017854601145,0.0
10,100000,-0.0031604014802724123,-0.0031604014802724123,-0.0031604014802724123,0.0
11,110000,-0.001255447743460536,-0.001255447743460536,-0.001255447743460536,0.0
12,120000,-0.0005126825417391956,-0.0005126825417391956,-0.0005126825417391956,0.0
13,130000,-0.0002046497684204951,-0.0002046497684204951,-0.0002046497684204951,0.0
14,140000,-8.410173177253455e-05,-8.410173177253455e-05,-8.410173177253455e-05,0.0
15,150000,-3.377650864422321e-05,-3.377650864422321e-05,-3.377650864422321e-05,0.0
16,160000,-1.3728279554925393e-05,-1.3728279554925393e-05,-1.3728279554925393e-05,0.0
17,170000,-5.605797923635691e-06,-5.605797923635691e-06,-5.605797923635691e-06,0.0
18,180000,-2.238626393591403e-06,-2.238626393591403e-06,-2.238626393591403e-06,0.0
19,190000,-9.126442819251679e-07,-9.126442819251679e-07,-9.126442819251679e-07,0.0
20,200000,-3.6765771938007674e-07,-3.6765771938007674e-07,-3.6765771938007674e-07,0.0
