epoch,step,min,max,mean,std
1,10000,-0.07646924257278442,0.0520646758377552,-0.002410547574982047,0.013104051351547241
2,20000,-0.032304778695106506,0.0272379070520401,-0.0016080611385405064,0.00613132119178772
3,30000,-0.03932342305779457,0.03231601417064667,6.455423863371834e-05,0.004467451944947243
4,40000,-0.008704097010195255,0.012829490005970001,-2.950240741483867e-05,0.0019271946512162685
5,50000,-0.01300623919814825,0.026562225073575974,0.00012106293434044346,0.002094235271215439
6,60000,-0.006251906976103783,0.025736413896083832,0.0002565902250353247,0.0018358784727752209
7,70000,-0.01556338183581829,0.011551246978342533,-0.00015057482232805341,0.001284112804569304
8,80000,-0.025076622143387794,0.0067558325827121735,-0.00022624498524237424,0.0013983239186927676
9,90000,-0.01673121750354767,0.003457682905718684,-0.0002095620584441349,0.001088074641302228
10,100000,-0.015554564073681831,0.011120089329779148,0.00013201583351474255,0.0015039214631542563
11,110000,-0.016246968880295753,0.003968338947743177,-0.0007369949598796666,0.0021841798443347216
12,120000,-0.0021526014897972345,0.013639405369758606,0.00038837664760649204,0.0011215260019525886
13,130000,-0.016030240803956985,0.008506260812282562,-0.00019983686797786504,0.0012937914580106735
14,140000,-0.011196003295481205,0.005938067566603422,-0.0001382039044983685,0.0010927114635705948
15,150000,-0.0021366537548601627,0.016493942588567734,0.0005244011990725994,0.0013840466272085905
16,160000,-0.005840584170073271,0.016729025170207024,0.000300555577268824,0.0016427621012553573
17,170000,-0.012104924768209457,0.006702051497995853,5.6508328270865604e-05,0.000934313575271517
18,180000,-0.008207134902477264,0.005743509624153376,3.6676821764558554e-05,0.0009377514943480492
19,190000,-0.005675714462995529,0.012871023267507553,0.000179710506927222,0.0011101741110906005
20,200000,-0.01012230571359396,0.011477201245725155,-7.764286419842392e-05,0.0010560969822108746
