epoch,step,min,max,mean,std
1,10000,-0.031222229823470116,0.029026148840785027,-4.946344415657222e-05,0.002974053844809532
2,20000,-0.023972658440470695,0.01941218413412571,-0.0001685062306933105,0.0022815221454948187
3,30000,-0.01559358835220337,0.012308783829212189,-0.00020925825810991228,0.0015319728991016746
4,40000,-0.038031138479709625,0.03956889733672142,0.00010466649837326258,0.0032577665988355875
5,50000,-0.01724817417562008,0.02058020420372486,-6.9666602939832956e-06,0.0012964269844815135
6,60000,-0.0185457281768322,0.015942636877298355,-6.754734931746498e-05,0.0015833335928618908
7,70000,-0.022766398265957832,0.019467556849122047,5.885129939997569e-05,0.0016397833824157715
8,80000,-0.03173376992344856,0.04532482475042343,-3.6423174606170505e-05,0.003130503697320819
9,90000,-0.018400171771645546,0.015593335032463074,-0.00014737126184627414,0.001364750205539167
10,100000,-0.03948252648115158,0.03192766383290291,5.6283628509845585e-05,0.0028666199650615454
11,110000,-0.01617524027824402,0.019115004688501358,-5.314008012646809e-05,0.0015322158578783274
12,120000,-0.02608788199722767,0.02503720112144947,-3.56948803528212e-05,0.0018189423717558384
13,130000,-0.026724739000201225,0.021352039650082588,-4.566342613543384e-05,0.0019505544332787395
14,140000,-0.011115457862615585,0.011510749347507954,-7.171693141572177e-06,0.000983632868155837
15,150000,-0.010598674416542053,0.023825177922844887,1.5445941244252026e-05,0.0011267585214227438
16,160000,-0.027492839843034744,0.019679920747876167,-0.00024525634944438934,0.001723510562442243
17,170000,-0.018362414091825485,0.022002102807164192,5.0532536988612264e-05,0.0021034921519458294
18,180000,-0.018327519297599792,0.016510117799043655,-0.000258987391134724,0.0016809811349958181
19,190000,-0.023038266226649284,0.019219310954213142,-0.00011507335148053244,0.0019586968701332808
20,200000,-0.0170487929135561,0.02686164900660515,0.00017487107834313065,0.0013431241968646646
