epoch,step,min,max,mean,std
1,10000,-10.316269874572754,-10.316269874572754,-10.316269874572754,0.0
2,20000,-4.223774433135986,-4.223774433135986,-4.223774433135986,0.0
3,30000,-1.6864967346191406,-1.6864967346191406,-1.6864967346191406,0.0
4,40000,-0.7081418633460999,-0.7081418633460999,-0.7081418633460999,0.0
5,50000,-0.2826133668422699,-0.2826133668422699,-0.2826133668422699,0.0
6,60000,-0.11016996204853058,-0.11016996204853058,-0.11016996204853058,0.0
7,70000,-0.045507803559303284,-0.045507803559303284,-0.045507803559303284,0.0
8,80000,-0.01768484152853489,-0.01768484152853489,-0.01768484152853489,0.0
9,90000,-0.0075231981463730335,-0.0075231981463730335,-0.0075231981463730335,0.0
10,100000,-0.003053999738767743,-0.003053999738767743,-0.003053999738767743,0.0
11,110000,-0.001186839770525694,-0.001186839770525694,-0.001186839770525694,0.0
12,120000,-0.0004867104871664196,-0.0004867104871664196,-0.0004867104871664196,0.0
13,130000,-0.00018666640971787274,-0.00018666640971787274,-0.00018666640971787274,0.0
14,140000,-8.04164374130778e-05,-8.04164374130778e-05,-8.04164374130778e-05,0.0
15,150000,-3.09692659357097e-05,-3.09692659357097e-05,-3.09692659357097e-05,0.0
16,160000,-1.2146022527304012e-05,-1.2146022527304012e-05,-1.2146022527304012e-05,0.0
17,170000,-5.0477283366490155e-06,-5.0477283366490155e-06,-5.0477283366490155e-06,0.0
18,180000,-2.079649220831925e-06,-2.079649220831925e-06,-2.079649220831925e-06,0.0
19,190000,-8.26781217710959e-07,-8.26781217710959e-07,-8.26781217710959e-07,0.0
20,200000,-3.303946414234815e-07,-3.303946414234815e-07,-3.303946414234815e-07,0.0
