epoch,step,min,max,mean,std
1,10000,-0.034843649715185165,0.09589727222919464,0.016983725130558014,0.04314912483096123
2,20000,-0.24804355204105377,0.04358057677745819,-0.03884957730770111,0.09882115572690964
3,30000,-0.11613965034484863,0.03411612659692764,-0.01627035066485405,0.04861533269286156
4,40000,-0.19204343855381012,0.011653346009552479,-0.04299234226346016,0.07240945100784302
5,50000,-0.07873851805925369,0.008399443700909615,-0.031142672523856163,0.03349194675683975
6,60000,-0.033076200634241104,0.12117990851402283,0.01907598227262497,0.05089804157614708
7,70000,-0.061113663017749786,0.2165684551000595,0.018663782626390457,0.09205629676580429
8,80000,-0.10453037917613983,0.14162230491638184,-0.023087412118911743,0.078093022108078
9,90000,-0.07656461000442505,0.06119561940431595,-0.004194781184196472,0.052116382867097855
10,100000,-0.06080663576722145,0.029522720724344254,0.0031874312553554773,0.03199049457907677
11,110000,-0.024759158492088318,0.06583412736654282,0.015844883397221565,0.0312865749001503
12,120000,-0.32271087169647217,0.11433650553226471,-0.02345416136085987,0.13864237070083618
13,130000,-0.03962668031454086,0.06015010178089142,0.00047304853796958923,0.029995126649737358
14,140000,-0.0983244925737381,0.11952308565378189,0.010548396967351437,0.07476644217967987
15,150000,-0.0402345173060894,0.040490567684173584,0.012479330413043499,0.027714742347598076
16,160000,-0.045068755745887756,0.06901182979345322,0.007524421438574791,0.03964496776461601
17,170000,-0.0775715708732605,0.007033221423625946,-0.022806411609053612,0.028978636488318443
18,180000,-0.03294255584478378,0.13055141270160675,0.021899597719311714,0.05409945547580719
19,190000,-0.01226876676082611,0.05414337292313576,0.0118127865716815,0.024246860295534134
20,200000,-0.027066092938184738,0.020140323787927628,-0.009071442298591137,0.017857689410448074
