epoch,step,min,max,mean,std
1,10000,-9.32711124420166,-9.32711124420166,-9.32711124420166,0.0
2,20000,-4.027437210083008,-4.027437210083008,-4.027437210083008,0.0
3,30000,-1.530142068862915,-1.530142068862915,-1.530142068862915,0.0
4,40000,-0.5962260365486145,-0.5962260365486145,-0.5962260365486145,0.0
5,50000,-0.23577243089675903,-0.23577243089675903,-0.23577243089675903,0.0
6,60000,-0.1014767661690712,-0.1014767661690712,-0.1014767661690712,0.0
7,70000,-0.0350092314183712,-0.0350092314183712,-0.0350092314183712,0.0
8,80000,-0.014411630108952522,-0.014411630108952522,-0.014411630108952522,0.0
9,90000,-0.0054763369262218475,-0.0054763369262218475,-0.0054763369262218475,0.0
10,100000,-0.0024117156863212585,-0.0024117156863212585,-0.0024117156863212585,0.0
11,110000,-0.0009030687506310642,-0.0009030687506310642,-0.0009030687506310642,0.0
12,120000,-0.0003738332015927881,-0.0003738332015927881,-0.0003738332015927881,0.0
13,130000,-0.00014489618479274213,-0.00014489618479274213,-0.00014489618479274213,0.0
14,140000,-5.948042598902248e-05,-5.948042598902248e-05,-5.948042598902248e-05,0.0
15,150000,-2.469682840455789e-05,-2.469682840455789e-05,-2.469682840455789e-05,0.0
16,160000,-9.71185727394186e-06,-9.71185727394186e-06,-9.71185727394186e-06,0.0
17,170000,-4.269376859156182e-06,-4.269376859156182e-06,-4.269376859156182e-06,0.0
18,180000,-1.6076438669188065e-06,-1.6076438669188065e-06,-1.6076438669188065e-06,0.0
19,190000,-6.438048671952856e-07,-6.438048671952856e-07,-6.438048671952856e-07,0.0
20,200000,-2.6281657028448535e-07,-2.6281657028448535e-07,-2.6281657028448535e-07,0.0
