epoch,step,min,max,mean,std
1,10000,-12.417950630187988,-12.417950630187988,-12.417950630187988,0.0
2,20000,-4.722599506378174,-4.722599506378174,-4.722599506378174,0.0
3,30000,-1.8253631591796875,-1.8253631591796875,-1.8253631591796875,0.0
4,40000,-0.6482375264167786,-0.6482375264167786,-0.6482375264167786,0.0
5,50000,-0.25136908888816833,-0.25136908888816833,-0.25136908888816833,0.0
6,60000,-0.09149288386106491,-0.09149288386106491,-0.09149288386106491,0.0
7,70000,-0.03745243698358536,-0.03745243698358536,-0.03745243698358536,0.0
8,80000,-0.014859078451991081,-0.014859078451991081,-0.014859078451991081,0.0
9,90000,-0.006002502981573343,-0.006002502981573343,-0.006002502981573343,0.0
10,100000,-0.0023868856951594353,-0.0023868856951594353,-0.0023868856951594353,0.0
11,110000,-0.0009598121396265924,-0.0009598121396265924,-0.0009598121396265924,0.0
12,120000,-0.00038091090391390026,-0.00038091090391390026,-0.00038091090391390026,0.0
13,130000,-0.0001501001388533041,-0.0001501001388533041,-0.0001501001388533041,0.0
14,140000,-4.9382269935449585e-05,-4.9382269935449585e-05,-4.9382269935449585e-05,0.0
15,150000,-2.5634843041189015e-05,-2.5634843041189015e-05,-2.5634843041189015e-05,0.0
16,160000,-9.18908426683629e-06,-9.18908426683629e-06,-9.18908426683629e-06,0.0
17,170000,-4.004637958132662e-06,-4.004637958132662e-06,-4.004637958132662e-06,0.0
18,180000,-1.5907171473372728e-06,-1.5907171473372728e-06,-1.5907171473372728e-06,0.0
19,190000,-6.480593697233417e-07,-6.480593697233417e-07,-6.480593697233417e-07,0.0
20,200000,-2.62420797980667e-07,-2.62420797980667e-07,-2.62420797980667e-07,0.0
