epoch,step,min,max,mean,std
1,10000,-13.857227325439453,0.23562635481357574,-6.097233772277832,5.740787029266357
2,20000,-0.5401363372802734,10.395956039428711,4.6985626220703125,4.451725959777832
3,30000,-14.448785781860352,1.1585172414779663,-6.708131313323975,6.357239723205566
4,40000,-26.502002716064453,0.03167715668678284,-12.307122230529785,11.574280738830566
5,50000,-0.14617511630058289,22.78066635131836,10.676730155944824,10.011110305786133
6,60000,-41.52493667602539,2.4937355518341064,-19.632556915283203,18.156667709350586
7,70000,-39.254852294921875,1.0237208604812622,-18.094467163085938,17.3123836517334
8,80000,-66.454345703125,0.043982382863759995,-31.073265075683594,29.413373947143555
9,90000,-16.156652450561523,0.39784812927246094,-7.582597255706787,7.220963478088379
10,100000,-5.909657001495361,1.2627118825912476,-2.701779842376709,2.706937074661255
11,110000,-11.763802528381348,0.21123480796813965,-5.45102596282959,5.139616012573242
12,120000,-0.0019741421565413475,26.52334213256836,12.474300384521484,11.787130355834961
13,130000,-2.1943182945251465,42.7618522644043,19.838054656982422,18.92032241821289
14,140000,-1.1292600631713867,1.2351553440093994,-0.1867721676826477,0.33124294877052307
15,150000,-31.293777465820312,0.4847254753112793,-14.717147827148438,14.087515830993652
16,160000,-39.32454299926758,0.3964117169380188,-18.32463836669922,17.45890235900879
17,170000,-43.00092697143555,0.43035605549812317,-20.22191619873047,19.15603256225586
18,180000,-0.6716391444206238,21.84835433959961,10.200305938720703,9.697546005249023
19,190000,-36.31804275512695,0.16100195050239563,-17.082794189453125,16.30202865600586
20,200000,-1.6265902519226074,6.7208452224731445,3.059201717376709,2.915593147277832
