epoch,step,min,max,mean,std
1,10000,-9.48438835144043,-9.48438835144043,-9.48438835144043,0.0
2,20000,-4.162344455718994,-4.162344455718994,-4.162344455718994,0.0
3,30000,-1.5338423252105713,-1.5338423252105713,-1.5338423252105713,0.0
4,40000,-0.5807467103004456,-0.5807467103004456,-0.5807467103004456,0.0
5,50000,-0.22197170555591583,-0.22197170555591583,-0.22197170555591583,0.0
6,60000,-0.08829312026500702,-0.08829312026500702,-0.08829312026500702,0.0
7,70000,-0.03384032100439072,-0.03384032100439072,-0.03384032100439072,0.0
8,80000,-0.013462367467582226,-0.013462367467582226,-0.013462367467582226,0.0
9,90000,-0.005524183623492718,-0.005524183623492718,-0.005524183623492718,0.0
10,100000,-0.0022607992868870497,-0.0022607992868870497,-0.0022607992868870497,0.0
11,110000,-0.0008706576190888882,-0.0008706576190888882,-0.0008706576190888882,0.0
12,120000,-0.0003568942775018513,-0.0003568942775018513,-0.0003568942775018513,0.0
13,130000,-0.00014407542767003179,-0.00014407542767003179,-0.00014407542767003179,0.0
14,140000,-6.204766395967454e-05,-6.204766395967454e-05,-6.204766395967454e-05,0.0
15,150000,-2.311216485395562e-05,-2.311216485395562e-05,-2.311216485395562e-05,0.0
16,160000,-9.381845302414149e-06,-9.381845302414149e-06,-9.381845302414149e-06,0.0
17,170000,-3.561842277122196e-06,-3.561842277122196e-06,-3.561842277122196e-06,0.0
18,180000,-1.5087580322870053e-06,-1.5087580322870053e-06,-1.5087580322870053e-06,0.0
19,190000,-6.044090810064517e-07,-6.044090810064517e-07,-6.044090810064517e-07,0.0
20,200000,-2.453686249737075e-07,-2.453686249737075e-07,-2.453686249737075e-07,0.0
