epoch,step,min,max,mean,std
1,10000,-0.14144837856292725,0.06374236941337585,0.0013483533402904868,0.021698933094739914
2,20000,-0.04887310415506363,0.14605295658111572,0.002886998699977994,0.021218987181782722
3,30000,-0.040629833936691284,0.0430305115878582,-0.0015912690432742238,0.011373157612979412
4,40000,-0.06784430891275406,0.05812394618988037,-0.004496095236390829,0.011964422650635242
5,50000,-0.06310442835092545,0.02300681360065937,-0.0027803455013781786,0.008205763064324856
6,60000,-0.03266671299934387,0.0513431653380394,0.0014083972200751305,0.006738209165632725
7,70000,-0.014262931421399117,0.03560175001621246,0.001179967075586319,0.004984892439097166
8,80000,-0.016877032816410065,0.046979084610939026,0.0006174862501211464,0.006097065284848213
9,90000,-0.023592490702867508,0.022727373987436295,-0.0001461700740037486,0.003961159847676754
10,100000,-0.011414093896746635,0.024175984784960747,0.00030622308258898556,0.00306418864056468
11,110000,-0.027356324717402458,0.01886422373354435,-0.0007270630449056625,0.0037477281875908375
12,120000,-0.02857845649123192,0.048168934881687164,0.00013196095824241638,0.00489786546677351
13,130000,-0.025642797350883484,0.022138619795441628,-0.00024126081552822143,0.004498505499213934
14,140000,-0.07576055824756622,0.03864686191082001,-1.680573586781975e-05,0.008322379551827908
15,150000,-0.022504886612296104,0.060980428010225296,0.001048261416144669,0.005997226107865572
16,160000,-0.01787877082824707,0.019104372709989548,-0.00022051289852242917,0.0035564200952649117
17,170000,-0.010541491210460663,0.04483334347605705,0.0018233227310702205,0.005709114484488964
18,180000,-0.00925514567643404,0.05494470149278641,0.0019281512359157205,0.006523593328893185
19,190000,-0.021071631461381912,0.021194417029619217,-6.353556091198698e-05,0.003968562465161085
20,200000,-0.031226489692926407,0.03474743664264679,-0.0002745765959843993,0.005129276309162378
