epoch,step,min,max,mean,std
1,10000,-0.10309134423732758,0.14238989353179932,0.0010991338640451431,0.07234422117471695
2,20000,-0.11492706835269928,0.06510110944509506,-0.014256847091019154,0.05550067871809006
3,30000,-0.12039995938539505,0.01331991609185934,-0.0302767064422369,0.04281371086835861
4,40000,-0.09921760857105255,0.3115795850753784,0.0672178640961647,0.12755385041236877
5,50000,-0.010918019339442253,0.11576633155345917,0.03599153086543083,0.04665113240480423
6,60000,-0.2602468729019165,0.06698885560035706,-0.022051723673939705,0.10903488844633102
7,70000,-0.059023771435022354,0.06574909389019012,-0.0036401774268597364,0.036983639001846313
8,80000,-0.01645434834063053,0.08324822783470154,0.0162948127835989,0.03838060423731804
9,90000,-0.13339048624038696,0.09915858507156372,-0.0037207629065960646,0.07729148864746094
10,100000,-0.00775732658803463,0.033739082515239716,0.010527946054935455,0.012157667428255081
11,110000,-0.04754655063152313,0.03925579786300659,0.002444380195811391,0.03061991184949875
12,120000,-0.02468818426132202,0.042683616280555725,0.020840944722294807,0.022535402327775955
13,130000,-0.10965048521757126,0.019791128113865852,-0.046369586139917374,0.048858705908060074
14,140000,-0.4855169653892517,0.17461040616035461,-0.06848683953285217,0.2029327154159546
15,150000,-0.0325409397482872,0.0701163113117218,0.0073459334671497345,0.035476621240377426
16,160000,-0.10505625605583191,-0.008682217448949814,-0.04346448555588722,0.030608685687184334
17,170000,-0.05938957259058952,0.05309394374489784,-0.002319144085049629,0.03476078063249588
18,180000,-0.053763505071401596,0.14129063487052917,0.014539188705384731,0.0648888573050499
19,190000,-0.013799168169498444,0.021503344178199768,0.006096379365772009,0.014476739801466465
20,200000,-0.03565966337919235,0.06566335260868073,0.020896563306450844,0.034512486308813095
